network,sales_2025,share,cum_share
ALVORADA,0.0,0.0,0.9999999999999998
BENAFRUTI,0.0,0.0,0.9999999999999998
KRILL,0.0,0.0,0.9999999999999998
BERTON,0.0,0.0,0.9999999999999998
LABARCA,0.0,0.0,0.9999999999999998
BON NETTO,0.0,0.0,0.9999999999999998
LARANJEIRAS,0.0,0.0,0.9999999999999998
BOUTIQUE MANAUS,0.0,0.0,0.9999999999999998
LAVIDA,0.0,0.0,0.9999999999999998
C C BARRETOS,0.0,0.0,0.9999999999999998
ARIEL,0.0,0.0,0.9999999999999998
LEMON,0.0,0.0,0.9999999999999998
