store,network,sales_2025,share,cum_share
PA SHOP JD SUL 2416,GPA,53969.9399999998,0.0021578351865178583,0.7930727265849028
PA BARAO 1293,GPA,53607.58999999984,0.0021433476480874902,0.7952160742329903
ST MARCHE SP MORUMBI 01,ST MARCHE,53582.78000000007,0.0021423556905093085,0.7973584299234997
SEMPRE VALE LIMEIRA 06,SEMPRE VALE,53505.1200000002,0.0021392506753733884,0.799497680598873
PA APINAJES 0106,GPA,53381.06999999985,0.00213429088748242,0.8016319714863555
SAVEGNAGO ARARAQUARA 22,SAVEGNAGO,53152.95000000019,0.0021251701554092007,0.8037571416417647
EXTRA PRES. VARGAS 2134,GPA,53068.10999999998,0.002121778068309889,0.8058789197100746
PA INDAIATUBA 2385,GPA,53031.70999999978,0.00212032271740919,0.8079992424274838
ENXUTO RIO CLARO I LJ 06,ENXUTO,52783.659999999894,0.0021104051407356654,0.8101096475682195
SAVEGNAGO SERTAOZINHO 02,SAVEGNAGO,52554.300000000265,0.0021012348307746214,0.8122108823989941
NATURAL DA TERRA JD MARAJOA SP,NATURAL DA TERRA,52308.84000000022,0.0020914208079151784,0.8143023032069092
SAVEGNAGO SAO CARLOS 33,SAVEGNAGO,52253.9500000001,0.0020892261867355324,0.8163915293936448
SAVEGNAGO PIRACICABA 38,SAVEGNAGO,52249.20000000017,0.0020890362714394285,0.8184805656650842
CARREFOUR CPS BRANDINA CAI,CARREFOUR,51781.589999999866,0.0020703402100473224,0.8205509058751316
MERCADO QUALIDADE RIO CLARO,M.QUALIDADE,51520.590000000295,0.0020599048643033724,0.822610810739435
PA VIEIRA DE MORAIS 1227,GPA,51238.55999999981,0.0020486286935747283,0.8246594394330097
OBA CPS CENTRO,OBA,51081.08999999985,0.0020423327016425366,0.8267017721346522
PA SANTANA 0116,GPA,51067.639999999825,0.0020417949414882966,0.8287435670761405
ST MARCHE SP FORTIS 09,ST MARCHE,50567.2399999999,0.0020217878648205556,0.830765354940961
OBA SP PENHA,OBA,50044.869999999915,0.0020009023799306093,0.8327662573208916
SAVEGNAGO LIMEIRA 40,SAVEGNAGO,49730.860000000175,0.001988347579482102,0.8347546049003737
PA VALINHOS PORTAL 0022,GPA,49597.60999999982,0.0019830199556492003,0.8367376248560229
PA SJRP BADY BASSIT 2383,GPA,49117.62999999985,0.0019638293148438787,0.8387014541708667
SAMS CLUB SOROCABA,BIG,49105.379999999735,0.0019633395332907567,0.8406647937041575
PA APIACAS 1223,GPA,48532.189999999755,0.001940422154643307,0.8426052158588008
PA LAVANDISCA 2457,GPA,48150.28999999972,0.0019251529648363283,0.8445303688236371
PA POMPEIA 1166,GPA,48094.03999999977,0.001922903967908751,0.8464532727915458
