store,network,state,city,sales_2024,sales_2025,qty_2024,qty_2025,price_2025,sort_2025,growth_abs,growth_pct
OBA AMERICANA 1,OBA,SP,AMERICANA,94474.29000000026,86057.37999999998,33719.0,27627.0,3.114973757556013,19,-8416.91000000028,-0.08909206938734604
BOA JUNDIAI 01,BOA,SP,JUNDIAI,71543.15000000023,85729.51000000013,23394.0,28759.0,2.9809628290274395,17,14186.359999999899,0.19829096146870606
PA PANAMBY 1722,GPA,SP,SAO PAULO,85687.09999999967,85143.06999999985,21665.0,21111.0,4.033114016389553,17,-544.0299999998242,-0.006349030367462816
VITORIA MAX CPS,VITORIA MAX,SP,CAMPINAS,25597.900000000027,83082.0999999999,8323.0,32300.0,2.57220123839009,24,57484.19999999988,2.2456607768605945
SAVEGNAGO RP 10,SAVEGNAGO,SP,RIBEIRAO PRETO,53457.9900000003,82969.29000000036,18391.0,27254.0,3.0442977177662125,29,29511.300000000054,0.5520465696521677
ST MARCHE SP CRESCO SUMARE 24,ST MARCHE,SP,SAO PAULO,7464.580000000003,82941.60000000003,1760.0,20467.0,4.052455171739876,27,75477.02000000003,10.111355226951819
PA RICARDO JAFET 1717,GPA,SP,SAO PAULO,81572.9399999998,82937.7399999997,19100.0,19159.0,4.328918001983387,10,1364.799999999901,0.016731038503698725
OBA SOROCABA VILA AUGUSTO,OBA,SP,SOROCABA,55276.350000000006,82193.49000000024,17929.0,25847.0,3.1800011606762966,26,26917.140000000232,0.48695581383358766
PA JD PAULISTANO 0009,GPA,SP,SAO PAULO,75208.77000000018,80390.32999999952,18941.0,19895.0,4.040730334254814,17,5181.559999999343,0.06889568862779338
PA ANA ROSA 1017,GPA,SP,SAO PAULO,75172.8699999997,79273.24999999946,17693.0,18437.0,4.2996827032597205,17,4100.379999999757,0.05454600842032198
PA PIRACICABA 2329,GPA,SP,PIRACICABA,99858.70999999989,79040.9799999997,25526.0,19668.0,4.018760423022153,17,-20817.730000000185,-0.20847184987669287
OBA SP SANTANA AUGUSTO TOLLE,OBA,SP,SAO PAULO,79512.43000000008,78601.84000000021,30977.0,25925.0,3.0318935390549746,22,-910.5899999998655,-0.011452171691896051
ST MARCHE SP PAVAO 13,ST MARCHE,SP,SAO PAULO,7358.980000000003,78063.43999999986,1792.0,19489.0,4.005512853404477,27,70704.45999999985,9.607915770935621
