network,sales_2024,sales_2025,qty_2024,qty_2025,price_2024,price_2025,sort_2024,sort_2025,registered_stores,active_stores_2024,active_stores_2025,ticket_registered_2025,ticket_active_2025,growth_abs,growth_pct,ticket_gap_pct
CHIMAR,0.0,0.0,0.0,0.0,,,0,0,1,0,0,0.0,,0.0,,
DONA NONECA,0.0,0.0,0.0,0.0,,,0,0,1,0,0,0.0,,0.0,,
SANTO ANTONIO,0.0,0.0,0.0,0.0,,,0,0,1,0,0,0.0,,0.0,,
EMP VILA BURGHESE,0.0,0.0,0.0,0.0,,,0,0,2,0,0,0.0,,0.0,,
SANTO,0.0,0.0,0.0,0.0,,,0,0,2,0,0,0.0,,0.0,,
EMP. RECANTO ARVORES,0.0,0.0,0.0,0.0,,,0,0,1,0,0,0.0,,0.0,,
SAO VICENTE,0.0,0.0,0.0,0.0,,,0,0,20,0,0,0.0,,0.0,,
ALMA JULIA,0.0,0.0,0.0,0.0,,,0,0,1,0,0,0.0,,0.0,,
SUP JD PARAISO,0.0,0.0,0.0,0.0,,,0,0,1,0,0,0.0,,0.0,,
EMPORIO SAO PEDRO,0.0,0.0,0.0,0.0,,,0,0,1,0,0,0.0,,0.0,,
LIMA SUPERMERCADOS,0.0,0.0,0.0,0.0,,,0,0,1,0,0,0.0,,0.0,,
ESTRELA AZUL,0.0,0.0,0.0,0.0,,,0,0,2,0,0,0.0,,0.0,,
SERRA AZUL,0.0,0.0,0.0,0.0,,,0,0,3,0,0,0.0,,0.0,,
FELTRIN,0.0,0.0,0.0,0.0,,,0,0,1,0,0,0.0,,0.0,,
M. GLICERIO,0.0,0.0,0.0,0.0,,,0,0,1,0,0,0.0,,0.0,,
FORTE MIX,0.0,0.0,0.0,0.0,,,0,0,10,0,0,0.0,,0.0,,
VILLA GOURMET,0.0,0.0,0.0,0.0,,,0,0,1,0,0,0.0,,0.0,,
FRUTO DA TERRA,0.0,0.0,0.0,0.0,,,0,0,2,0,0,0.0,,0.0,,
QUALYMAX,0.0,0.0,0.0,0.0,,,0,0,1,0,0,0.0,,0.0,,
GEMMA,0.0,0.0,0.0,0.0,,,0,0,1,0,0,0.0,,0.0,,
SHOPPER,0.0,0.0,0.0,0.0,,,0,0,4,0,0,0.0,,0.0,,
